CustomerID,First_Name,Last_Name,Phone_Number,Address,Paying Customer,Do_Not_Contact,Street_Address,State,Zip_Code
1001,Frodo,Baggins,123-545-5421,"123 Shire Lane, Shire",Yes,N,123 Shire Lane, Shire,
1005,Jon,Snow,876|678|3469,123 Dragons Road,Y,N,123 Dragons Road,,
1008,Sherlock,Holmes,876|678|3469,98 Clue Drive,N,N,98 Clue Drive,,
1009,Gandalf,,N/a,123 Middle Earth,Yes,,123 Middle Earth,,
1010,Peter,Parker,123-545-5421,"25th Main Street, New York",Yes,N,25th Main Street, New York,
1013,Don,Draper,123-543-2345,2039 Main Street,Yes,N,2039 Main Street,,
1014,Leslie,Knope,876|678|3469,343 City Parkway,Yes,N,343 City Parkway,,
1015,Toby,Flenderson,304-762-2467,214 HR Avenue,N,N,214 HR Avenue,,
1016,Ron,Weasley,123-545-5421,2395 Hogwarts Avenue,No,N,2395 Hogwarts Avenue,,
1017,Michael ,Scott,123/643/9775,"121 Paper Avenue, Pennsylvania",Yes,N,121 Paper Avenue, Pennsylvania,
1020,Anakin,Skywalker,876|678|3469,"910 Tatooine Road, Tatooine",Yes,N,910 Tatooine Road, Tatooine,
